RT 07 DUSUN TALANG TEMBESU,6
RT 08 DUSUN TALANG TEMBESU,12
RT 09 DUSUN TALANG TEMBESU,9
KEBUN,0
SAWAH,0
RT 001 DUSUN DANGLO BARU,8
RT 002 DUSUN DANGLO BARU,14
RT 003 DUSUN DANGLO BARU,10
RT 004 DUSUN BUNGO TANJUNG,7
RT 005 DUSUN BUNGO TANJUNG,8
RT 006 DUSUN BUNGO TANJUNG,5
RT 007 DUSUN TANJUNG RAJO,7
RT 008 DUSUN TANJUNG RAJO,4
RT 009 DUSUN TANJUNG RAJO,8
RT 010 DUSUN TANJUNG RAJO,5
PERSAWAHAN,0
PERKEBUNAN KARET,0
RT 001 DUSUN ASSALAM,5
RT 002 DUSUN ASSALAM,6
RT 003 DUSUN ASSALAM,6
RT 004 DUSUN ASSALAM,8
RT 005 DUSUN ASSALAM,8
RT 006 DUSUN ASSALAM,9
RT 007 DUSUN ASSALAM,7
RT 008 DUSUN ASSALAM,6
RT 009 DUSUN ASSALAM,4
RT 010 DUSUN KAUMAN,3
RT 011 DUSUN KAUMAN,1
RT 012 DUSUN KAUMAN,4
RT 013 DUSUN KAUMAN,6
RT 014 DUSUN KAUMAN,6
RT 015 DUSUN KAUMAN,6
RT 016 DUSUN KAUMAN,5
RT 017 DUSUN KAUMAN,14
KEBUN SAWIT,0
RT 001 DUSUN SUMBER BAROKAH,12
RT 002 DUSUN SUMBER BAROKAH,2
RT 003 DUSUN SUMBER BAROKAH,2
RT 004 DUSUN SUMBER ALAM,17
RT 005 DUSUN SUMBER ALAM,14
RT 006 DUSUN BANGUN REJO,4
RT 007 DUSUN BANGUN REJO,9
RT 008 DUSUN BANGUN REJO,4
RT 009 DUSUN BANGUN REJO,2
RT 010 DUSUN SUMBER MAKMUR,13
RT 011 DUSUN SUMBER MAKMUR,3
RT 012 DUSUN SUMBER MAKMUR,2
RT 013 DUSUN SUMBER MAKMUR,1
RT 019 DUSUN SUMBER ALAM,3
RT 014 DUSUN SUMBER MAKMUR,9
RT 015 DUSUN SINAR HARAPAN,4
RT 016 DUSUN SINAR HARAPAN,4
RT 017 DUSUN SINAR HARAPAN,2
RT 018 DUSUN SINAR HARAPAN,8
KEBUN,0
KEBUN,0
RT 001 DUSUN SUKA RAMAI,3
RT 002 DUSUN SUKA RAMAI,3
RT 003 DUSUN SUKA RAMAI,2
RT 004 DUSUN SUKA RAMAI,10
RT 010 DUSUN SUKA RAMAI,5
RT 005 DUSUN SUKA MAJU,5
RT 006 DUSUN SUKA MAJU,4
RT 007 DUSUN SUKA MAJU,4
RT 008 DUSUN SUKA MAJU,5
RT 009 DUSUN SUKA MAJU,1
KEBUN,0
KEBUN,0
RT 001 DUSUN SUKA MAJU,6
RT 002 DUSUN SUKA MAJU,8
RT 003 DUSUN SUKA MAJU,6
RT 004 DUSUN SUKA MAJU,13
RT 005 DUSUN SUKA MAJU,6
RT 006 DUSUN SUKA MAJU,3
RT 007 DUSUN SUKA MAJU,3
RT 008 DUSUN SUKA MAJU,3
RT 009 DUSUN BALIDO PERMAI,8
RT 010 DUSUN BALIDO PERMAI,11
RT 011 DUSUN BALIDO PERMAI,15
RT 012 DUSUN BALIDO PERMAI,8
RT 013 DUSUN BALIDO PERMAI,10
RT 014 DUSUN BALIDO PERMAI,6
RT 015 DUSUN BALIDO PERMAI,5
RT 016 DUSUN BALIDO PERMAI,4
RT 017 DUSUN BALIDO PERMAI,2
PERKEBUNAN WKS,2
PERKEBUNAN,0
RT 001 DUSUN SUNGAI GONDANG,5
RT 002 DUSUN SUNGAI GONDANG,8
RT 003 DUSUN RIMBO GAGAH,3
RT 004 DUSUN RIMBO GAGAH,4
RT 016 DUSUN RIMBO GAGAH,4
RT 005 DUSUN MEKAR BARU,7
RT 006 DUSUN MEKAR BARU,13
RT 007 DUSUN MEKAR BARU,10
RT 008 DUSUN MEKAR BARU,9
RT 009 DUSUN MEKAR INDAH,8
RT 010 DUSUN MEKAR INDAH,11
RT 011 DUSUN MEKAR INDAH,14
RT 012 DUSUN MEKAR INDAH,21
RT 017 DUSUN MEKAR INDAH,2
RT 013 DUSUN TALANG KUNING,15
RT 014 DUSUN TALANG KUNING,2
RT 015 DUSUN TALANG KUNING,0
RT 018 DUSUN TALANG KUNING,3
PERKEBUNAN MASYARAKAT,0
PERKEBUNAN MASYARAKAT,0
PERKEBUNAN MASYARAKAT,0
PERKEBUNAN MASYARAKAT,0
PERKEBUNAN MASYARAKAT,0
PERKEBUNAN MASYARAKAT,0
PERKEBUNAN MASYARAKAT,0
PERKEBUNAN MASYARAKAT,0
PERKEBUNAN (PT. ASIAN AGRI),2
KEBUN SAWIT,0
RT 001 DUSUN SEKASIM JAYA,6
RT 002 DUSUN SEKASIM JAYA,5
RT 003 DUSUN SEKASIM JAYA,12
RT 004 DUSUN SEKASIM JAYA,20
RT 005 DUSUN PAYO LEBAR,18
RT 006 DUSUN PAYO LEBAR,5
RT 007 DUSUN PAYO LEBAR,15
RT 008 DUSUN PAYO LEBAR,20
PERKEBUNAN SAWIT,0
RT 01 DUSUN SIMPANG BATU,5
RT 02 DUSUN SIMPANG BATU,7
RT 03 DUSUN SIMPANG BATU,4
RT 04 DUSUN SIMPANG BATU,9
RT 05 DUSUN DANGLO BARU,3
RT 06 DUSUN DANGLO BARU,5
RT 07 DUSUN DANGLO BARU,19
RT 08 DUSUN DANGLO BARU,6
KEBUN,0
KEBUN,0
KEBUN,0
RT 001 DUSUN 1,5
RT 002 DUSUN 2,9
RT 003 DUSUN 3,5
KEBUN SAWIT DAN KARET,0
RT 001 DUSUN 1,8
RT 002 DUSUN 1,5
RT 003 DUSUN 1,97
RT 004 DUSUN 2,9
RT 005 DUSUN 2,13
RT 006 DUSUN 2,3
RT 007 DUSUN 3,16
RT 008 DUSUN 3,9
RT 009 DUSUN 4,7
RT 010 DUSUN 4,6
RT 011 DUSUN 4,11
RT 012 DUSUN 5,9
RT 013 DUSUN 5,8
RT 014 DUSUN 5,8
RT 015 DUSUN 6,9
RT 016 DUSUN 6,8
RT 017 DUSUN 6,10
RT 018 DUSUN 3,0
KEBUN PT. APL,8
PERSAWAHAN,0
RT 001 DUSUN 1,11
RT 002 DUSUN 1,10
RT 003 DUSUN 1,12
RT 004 DUSUN 1,13
RT 005 DUSUN 2,8
RT 006 DUSUN 2,10
RT 007 DUSUN 2,13
RT 008 DUSUN 2,6
RT 009 DUSUN 3,10
RT 010 DUSUN 3,15
RT 011 DUSUN 3,11
RT 012 DUSUN 3,42
SAWAH DAN KEBUN,0
RT 1 DUSUN I,20
RT 2 DUSUN I,10
RT 3 DUSUN I,12
RT 4 DUSUN II,12
RT 5 DUSUN II,13
RT 6 DUSUN II,15
SAWAH KEBUN KARET DAN SAWIT,0
RT 001 DUSUN 001,4
RT 002 DUSUN 001,4
RT 003 DUSUN 002,4
RT 004 DUSUN 002,3
RT 005 DUSUN 002,4
RT 006 DUSUN 003,9
RT 001 DUSUN 004,3
RT 002 DUSUN 004,3
RT 003 DUSUN 004,2
RT 004 DUSUN 005,3
RT 005 DUSUN 005,1
RT 006 DUSUN 005,2
RT 007 DUSUN 005,2
SAWAH,0
KEBUN KARET DAN SAWIT,2
KEBUN KARET DAN SAWIT,0
RT 001 DUSUN I,15
RT 002 DUSUN I,15
RT 003 DUSUN II,13
RT 004 DUSUN II,10
RT 005 DUSUN III,10
RT 006 DUSUN III,18
RT 007 DUSUN IV,13
RT 008 DUSUN IV,12
RT 009 DUSUN V,16
RT 010 DUSUN V,10
PERKEBUNAN KARET DAN SAWIT,0
