idsbr,lat_new,long_new,status_label,petugas
27489,-1.779768,103.088946,ORIGINAL,-
78586,-1.711891,103.255488,ORIGINAL,-
78598,-1.707429,103.267863,ORIGINAL,-
21222,-1.7,103.29,ORIGINAL,-
46581,-2.042,103.343,ORIGINAL,-
46595,-1.583217,103.208445,ORIGINAL,-
46619,-1.905932,103.0134493,ORIGINAL,-
46681,-1.703661127,103.2669357,ORIGINAL,-
46620,-1.939603,103.12515,ORIGINAL,-
610245,-1.70170905,103.2624809,ORIGINAL,-
95603894,-1.722549,103.24605,ORIGINAL,-
95603880,-1.693535,103.26861,ORIGINAL,-
95603882,-1.72262,103.246,ORIGINAL,-
95603884,-1.7105562,103.2563,ORIGINAL,-
95603885,-1.7123081,103.2591875,ORIGINAL,-
95603890,-1.7225927,103.24603,ORIGINAL,-
95603891,-1.72257,103.24607,ORIGINAL,-
95603901,-1.72254,103.246,ORIGINAL,-
95603899,-1.7225,103.24605,ORIGINAL,-
95603886,-1.72262,103.24605,ORIGINAL,-
95603888,-1.722528,103.246086,ORIGINAL,-
95603889,-1.722506,103.24608,ORIGINAL,-
95603892,-1.722549,103.24607,ORIGINAL,-
95603900,-1.7225122,103.24603,ORIGINAL,-
95603913,-1.7104884,103.264495,ORIGINAL,-
95603918,-1.7065866,103.265644,ORIGINAL,-
95603893,-1.722571,103.246,ORIGINAL,-
95603896,-1.7225069,103.246054,ORIGINAL,-
95603928,-1.710187,103.26181,ORIGINAL,-
95603904,-1.722555,103.24604,ORIGINAL,-
95603914,-1.7151716,103.2549,ORIGINAL,-
95603921,-1.7110869,103.263204,ORIGINAL,-
95603895,-1.722544,103.246065,ORIGINAL,-
95603905,-1.722469,103.246079,ORIGINAL,-
95603906,-1.7225551,103.2460651,ORIGINAL,-
95603898,-1.72252301,103.2461,ORIGINAL,-
95603902,-1.722468419,103.2460329,ORIGINAL,-
95603910,-1.7107202,103.26481965,ORIGINAL,-
95603920,-1.70673925,103.2656396,ORIGINAL,-
95603949,-1.7315588,103.38767343,ORIGINAL,-
95603955,-1.6907053,103.173988,ORIGINAL,-
95603954,-1.690933,103.17116182,ORIGINAL,-
95603960,-1.5821289,103.1965424,ORIGINAL,-
95603986,-1.562711,103.364537,ORIGINAL,-
95603988,-1.5584554,103.362261,ORIGINAL,-
95603958,-1.5829070521,103.19536796,ORIGINAL,-
95603985,-1.5643104,103.365755,ORIGINAL,-
95603996,-1.48665817,103.4426798,ORIGINAL,-
95603983,-1.5605052,103.363365,ORIGINAL,-
95604001,-1.7224566,103.2460329,ORIGINAL,-
95604003,-1.722527458,103.246056,ORIGINAL,-
95604004,-1.72252301,103.2460329,ORIGINAL,-
95604019,-1.722873,103.24529,ORIGINAL,-
95604018,-1.72294051,103.24528385,ORIGINAL,-
95604024,-1.724578,103.24237,ORIGINAL,-
95604008,-1.724142258,103.2434804,ORIGINAL,-
95604017,-1.7088177,103.258052,ORIGINAL,-
95604026,-1.711468581,103.2575458,ORIGINAL,-
95603425,-1.790823,103.402733,ORIGINAL,-
95602741,-1.721658,103.1441652,ORIGINAL,-
95602745,-1.7221608,103.143209,ORIGINAL,-
95603450,-1.72643703,103.270005,ORIGINAL,-
95602749,-1.7129693,103.141255,ORIGINAL,-
95603451,-1.6430994,103.2672024,ORIGINAL,-
95602754,-1.7217989,103.1412741,ORIGINAL,-
95603446,-1.4367607,103.200783,ORIGINAL,-
95602751,-1.71704,103.140573,ORIGINAL,-
95603426,-1.7584865,103.400041,ORIGINAL,-
95603442,-1.60569,103.269474,ORIGINAL,-
95602750,-1.721673058,103.1404351,ORIGINAL,-
95602753,-1.7214422023146,103.13848402346,ORIGINAL,-
95602757,-1.7308689,103.1375442,ORIGINAL,-
95602752,-1.721906,103.1409408,ORIGINAL,-
95602760,-1.72175,103.1422239,ORIGINAL,-
95602763,-1.7220931,103.144114,ORIGINAL,-
95602786,-1.72150803,103.265381,ORIGINAL,-
95604023,-1.5792978,103.220376,ORIGINAL,-
95604034,-1.5874016,103.6143778,ORIGINAL,-
95604038,-1.711459568,103.2612529,ORIGINAL,-
95604040,-1.7125845292,103.26136502,ORIGINAL,-
95604041,-1.711570512,103.2572749,ORIGINAL,-
95602734,-1.889575201,102.97839695,ORIGINAL,-
95602743,-1.72230531,103.1436451,ORIGINAL,-
95603447,-1.741551241,103.28116045,ORIGINAL,-
95603498,-1.705441232,103.2620799,ORIGINAL,-
95602792,-1.712148033,103.2586029,ORIGINAL,-
95602787,-1.73158706,103.26119774,ORIGINAL,-
95602793,-1.6504015,103.2509651,ORIGINAL,-
95602775,-1.7265771909,103.2695888,ORIGINAL,-
95602790,-1.7189896,103.26532081,ORIGINAL,-
95603505,-1.7027857837,103.26307024,ORIGINAL,-
95603509,-1.710133,103.25727,ORIGINAL,-
95603511,-1.7012130076,103.26271871,ORIGINAL,-
95602784,-1.713917,103.26524,ORIGINAL,-
95603502,-1.70495183,103.2622431,ORIGINAL,-
95603507,-1.70608676,103.261221415,ORIGINAL,-
95603518,-1.72202971,103.26615381,ORIGINAL,-
95603500,-1.70590603,103.26173847,ORIGINAL,-
95602831,-1.7220988,103.14239,ORIGINAL,-
95602832,-1.72201047,103.1423673,ORIGINAL,-
95602835,-1.7216697,103.142025,ORIGINAL,-
95602836,-1.71777,103.14162,ORIGINAL,-
95603538,-1.7899771,103.401271,ORIGINAL,-
95602806,-1.84533,102.99548,ORIGINAL,-
95603533,-1.7480204,103.3661612,ORIGINAL,-
95602824,-1.8131524949,103.0464718,ORIGINAL,-
95603536,-1.7725,103.3702,ORIGINAL,-
95602768,-1.7241,103.149,ORIGINAL,-
95603516,-1.7003183454,103.26434023,ORIGINAL,-
95602802,-1.87464,103.0034,ORIGINAL,-
95603534,-1.77655036,103.4000128,ORIGINAL,-
95603544,-1.77146316,103.3276309,ORIGINAL,-
